Station,Datetime,Departures,Arrivals,Net_Flow,Risk_Type,Estimated_Bikes_To_Move,Rebalancing_Direction,Priority_Score,Priority_Level
King St W / Bay St (West Side),2024-02-28 08:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
King St W / Bay St (West Side),2024-06-11 10:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
King St W / Bay St (West Side),2024-06-11 17:00:00,5,0,-5,Shortage Risk,5,Deliver bikes to station,8.958797346140274,High
King St W / Bay St (West Side),2024-05-07 09:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
King St W / Bay St (West Side),2024-05-15 08:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
King St W / Bay St (West Side),2024-05-02 08:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
King St W / Bay St (West Side),2024-05-22 16:00:00,5,0,-5,Shortage Risk,5,Deliver bikes to station,8.958797346140274,High
King St W / Bay St (West Side),2024-04-23 08:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
King St W / Bay St (West Side),2024-02-07 09:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
King St W / Bay St (West Side),2024-03-05 09:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
King St W / Bay St (West Side),2024-01-10 09:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
King St W / Bay St (West Side),2024-03-04 08:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
Portland St / Queen St W,2024-04-05 15:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
King St W / Bay St (West Side),2024-05-21 09:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
King St W / Bay St (West Side),2024-05-16 17:00:00,5,0,-5,Shortage Risk,5,Deliver bikes to station,8.958797346140274,High
Queens Quay / Yonge St,2022-07-23 14:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
King St W / Bay St (West Side),2024-06-03 17:00:00,5,0,-5,Shortage Risk,5,Deliver bikes to station,8.958797346140274,High
King St W / Bay St (West Side),2024-06-10 08:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
King St W / Bay St (West Side),2024-06-06 09:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
Bay St / Queens Quay W (Ferry Terminal),2024-05-19 16:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
Bay St / Queens Quay W (Ferry Terminal),2024-03-13 17:00:00,5,0,-5,Shortage Risk,5,Deliver bikes to station,8.958797346140274,High
Toronto Eaton Centre (Yonge St) - SMART,2024-06-05 16:00:00,5,0,-5,Shortage Risk,5,Deliver bikes to station,8.958797346140274,High
Adelaide St W / Bay St - SMART,2022-06-21 08:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
Bathurst St / Front St W,2024-05-23 18:00:00,5,0,-5,Shortage Risk,5,Deliver bikes to station,8.958797346140274,High
King St W / Bay St (West Side),2024-06-13 09:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
York St / Queens Quay W,2022-07-22 11:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
Mutual St / Shuter St,2024-05-31 18:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
Niagara St / Richmond St W,2024-05-31 18:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
King St W / Bay St (West Side),2025-12-03 08:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
Centre Island Ferry Dock,2025-08-29 12:00:00,5,0,-5,Shortage Risk,5,Deliver bikes to station,8.958797346140274,High
Centre Island Ferry Dock,2025-07-19 12:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
Centre Island Ferry Dock,2025-07-06 12:00:00,5,0,-5,Shortage Risk,5,Deliver bikes to station,8.958797346140274,High
Centre Island Ferry Dock,2025-07-06 13:00:00,0,5,5,Overflow Risk,5,Remove bikes from station,8.958797346140274,High
Bay St / Queens Quay W (Ferry Terminal),2024-05-20 17:00:00,6,2,-4,Shortage Risk,4,Deliver bikes to station,8.788898309344878,High
Ontario Place Blvd / Lake Shore Blvd W,2025-08-28 23:00:00,2,6,4,Overflow Risk,4,Remove bikes from station,8.788898309344878,High
Centre Island Ferry Dock,2025-07-13 17:00:00,2,6,4,Overflow Risk,4,Remove bikes from station,8.788898309344878,High
King St W / Bay St (West Side),2025-06-12 17:00:00,8,5,-3,Shortage Risk,3,Deliver bikes to station,7.9171719888457766,High
Bay St / Wellesley St W,2024-06-06 17:00:00,1,5,4,Overflow Risk,4,Remove bikes from station,7.783640596221253,High
Centre Island Ferry Dock,2025-07-19 11:00:00,5,1,-4,Shortage Risk,4,Deliver bikes to station,7.783640596221253,High
Centre Island Ferry Dock,2025-08-14 13:00:00,5,1,-4,Shortage Risk,4,Deliver bikes to station,7.783640596221253,High
King St W / Bay St (West Side),2024-06-04 08:00:00,1,5,4,Overflow Risk,4,Remove bikes from station,7.783640596221253,High
Centre Island Ferry Dock,2025-07-10 14:00:00,5,1,-4,Shortage Risk,4,Deliver bikes to station,7.783640596221253,High
Toronto Eaton Centre (Yonge St) - SMART,2024-06-13 17:00:00,1,5,4,Overflow Risk,4,Remove bikes from station,7.783640596221253,High
Centre Island Ferry Dock,2025-08-11 19:00:00,5,1,-4,Shortage Risk,4,Deliver bikes to station,7.783640596221253,High
Centre Island Ferry Dock,2025-06-14 17:00:00,5,1,-4,Shortage Risk,4,Deliver bikes to station,7.783640596221253,High
Ward's Island Ferry Dock,2025-06-14 17:00:00,5,1,-4,Shortage Risk,4,Deliver bikes to station,7.783640596221253,High
Dundas St E / Parliament St,2024-01-02 17:00:00,1,5,4,Overflow Risk,4,Remove bikes from station,7.783640596221253,High
Tommy Thompson Park (Leslie Street Spit),2024-06-03 18:00:00,1,5,4,Overflow Risk,4,Remove bikes from station,7.783640596221253,High
Dundas St W / Crawford St,2024-05-20 16:00:00,1,5,4,Overflow Risk,4,Remove bikes from station,7.783640596221253,High
King St W / Bay St (West Side),2024-06-12 09:00:00,1,5,4,Overflow Risk,4,Remove bikes from station,7.783640596221253,High
Union Station,2024-02-08 08:00:00,1,5,4,Overflow Risk,4,Remove bikes from station,7.783640596221253,High
Ward's Island Ferry Dock,2025-08-31 17:00:00,1,5,4,Overflow Risk,4,Remove bikes from station,7.783640596221253,High
Centre Island Ferry Dock,2025-07-10 17:00:00,3,6,3,Overflow Risk,3,Remove bikes from station,6.907755278982138,High
Ward's Island Ferry Dock,2025-07-12 14:00:00,6,3,-3,Shortage Risk,3,Deliver bikes to station,6.907755278982138,High
Centre Island Ferry Dock,2025-05-19 20:00:00,3,6,3,Overflow Risk,3,Remove bikes from station,6.907755278982138,High
Centre Island Ferry Dock,2025-07-26 16:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
College St / Borden St,2024-04-09 14:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
York St / Queens Quay W,2024-05-18 23:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
York St / Queens Quay W,2022-07-02 12:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Centre Island Ferry Dock,2025-08-11 20:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
York St / Queens Quay W,2024-06-13 17:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Marilyn Bell Park Tennis Court,2022-07-02 19:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Marilyn Bell Park Tennis Court,2022-08-14 15:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Centre Island Ferry Dock,2025-08-12 14:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Queens Quay E / Lower Sherbourne St,2024-05-29 15:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Marilyn Bell Park Tennis Court,2024-06-08 15:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Centre Island Ferry Dock,2025-07-18 10:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Bay St / College St (East Side),2024-05-16 08:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Bay St / College St (East Side),2024-05-13 16:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Bay St / College St (East Side),2024-04-16 16:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
King St W / Bay St (West Side),2025-11-19 08:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
King St W / Bay St (West Side),2024-06-13 18:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
King St W / Bay St (West Side),2024-06-13 08:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
College St / Major St,2024-04-07 17:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
College St / Markham St,2024-05-30 18:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Cherry St / Lake Shore Blvd E,2024-05-30 20:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Marilyn Bell Park Tennis Court,2024-05-25 18:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Lake Shore Blvd W / Ontario Dr,2022-07-31 19:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Northern Dancer Blvd / Lake Shore Blvd E,2022-06-25 19:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Palmerston Ave / Dundas St W,2024-04-18 17:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Bay St / College St (East Side),2024-06-03 20:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Bay St / College St (East Side),2024-05-22 16:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Centre Island Ferry Dock,2025-08-14 15:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
King St W / Bay St (West Side),2024-06-11 09:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Lower Jarvis St / Queens Quay E,2024-06-09 18:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Lower Spadina Ave / Lake Shore Blvd W,2024-06-12 17:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Lisgar St / Queen St W - SMART,2024-06-01 14:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Lake Shore Blvd W / Ontario Dr,2022-06-04 15:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
King St W / Bay St (West Side),2024-06-06 17:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
King St W / Bay St (West Side),2024-06-04 09:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
King St W / Bay St (West Side),2024-06-11 08:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Bay St / Wellesley St W,2024-06-08 13:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Bay St / Queens Quay W (Ferry Terminal),2024-06-01 18:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Tommy Thompson Park (Leslie Street Spit),2024-06-03 17:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
King St W / Bay St (West Side),2025-12-17 08:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Toronto Inukshuk Park,2024-05-19 17:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Toronto Eaton Centre (Yonge St) - SMART,2024-06-05 17:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Union Station,2024-04-09 08:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Union Station,2024-03-05 16:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
University Ave / College St (East),2022-05-30 08:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
University Ave / College St (East),2022-05-12 17:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Union Station,2024-06-10 08:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
University Ave / Gerrard St W (East Side),2024-01-03 16:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
University Ave / Gerrard St W (East Side),2022-10-24 09:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
University Ave / Gerrard St W (East Side),2022-10-03 10:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
King St W / Charlotte St,2024-05-23 17:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Lake Shore Blvd E / Leslie St,2022-07-01 22:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Lake Shore Blvd W / Colborne Lodge Dr,2024-05-04 10:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Lake Shore Blvd W / Ontario Dr,2022-08-20 18:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Centre Island Ferry Dock,2025-08-23 12:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
12 Harbour St,2024-05-12 17:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
College St / Crawford St,2024-04-25 17:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Church St / Bloor St E,2022-09-20 09:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Church St  / Wood St,2024-05-14 17:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Centre Island Ferry Dock,2025-08-21 16:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Queens Park Cres / College St,2024-05-16 08:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Queen St W / John St,2024-05-07 21:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Queen St W / John St,2024-05-30 18:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Polson Pier,2025-08-12 21:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Polson Pier,2025-08-12 22:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Polson Pier,2024-06-04 21:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Polson Pier,2024-06-05 18:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Ontario Place Blvd / Lake Shore Blvd W (East),2022-08-27 23:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Ontario Place Blvd / Lake Shore Blvd W (East),2022-09-03 23:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Bathurst St/Queens Quay(Billy Bishop Airport),2022-05-14 18:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Queen's Park / Bloor St W,2024-02-10 13:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Queen's Park Cres W / Hoskin Ave,2024-04-29 17:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Queens Quay / Yonge St,2024-05-13 17:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
King St W / Bay St (West Side),2024-05-14 08:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
King St W / Bay St (West Side),2024-05-09 08:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
King St W / Bay St (West Side),2024-05-02 09:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Simcoe St / King St W,2024-04-19 19:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Simcoe St / Queen St W,2024-06-13 10:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Simcoe St / Queen St W,2024-06-05 09:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Simcoe St / Queen St W,2024-05-08 19:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Spadina Ave / Fort York Blvd,2024-04-25 20:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Spadina Ave / Harbord St - SMART,2024-04-16 17:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Bathurst St/Queens Quay(Billy Bishop Airport),2022-06-12 19:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
King St W / Bay St (West Side),2024-05-22 17:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Queens Quay E / Lower Sherbourne St,2022-06-25 12:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Queens Quay E / Lower Jarvis St,2024-06-11 19:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Queens Quay E / Lower Jarvis St,2024-05-23 18:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Sherbourne St / Carlton St (Allan Gardens),2024-05-16 17:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Riverdale Park North (Broadview Ave),2024-04-14 18:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Richmond St W / York St,2024-04-19 16:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Richmond St E / Yonge St,2024-06-03 18:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Sherbourne St / Wellesley St E,2024-06-13 16:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
King St W / Bay St (West Side),2024-04-22 08:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
King St W / Bay St (West Side),2024-04-18 18:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
King St W / Bay St (West Side),2024-03-19 09:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
King St W / Bay St (West Side),2024-03-18 09:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Bond St / Queen St E,2024-04-30 17:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Bond St / Queen St E,2024-04-24 18:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
Bond St / Queen St E,2024-02-14 08:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
King St W / Bay St (West Side),2024-03-13 09:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
King St W / Bay St (West Side),2024-03-11 09:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
King St W / Bay St (West Side),2024-03-06 09:00:00,0,4,4,Overflow Risk,4,Remove bikes from station,6.437751649736401,High
University Ave / College St (East),2024-06-13 15:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
Strachan Ave / Princes' Blvd,2022-09-11 22:00:00,4,0,-4,Shortage Risk,4,Deliver bikes to station,6.437751649736401,High
