event_date,event_name,event_type,location,impact_level,year,month,day_of_week,is_event,day_name
2024-10-14,Thanksgiving,Public Holiday,Toronto,High,2024,10,Monday,1,Monday
2024-12-25,Christmas Day,Public Holiday,Toronto,High,2024,12,Wednesday,1,Wednesday
2024-12-26,Boxing Day,Public Holiday,Toronto,High,2024,12,Thursday,1,Thursday
2025-01-01,New Year's Day,Public Holiday,Toronto,High,2025,1,Wednesday,1,Wednesday
2025-02-17,Family Day,Public Holiday,Toronto,High,2025,2,Monday,1,Monday
2025-04-18,Good Friday,Public Holiday,Toronto,High,2025,4,Friday,1,Friday
2025-05-19,Victoria Day,Public Holiday,Toronto,High,2025,5,Monday,1,Monday
2025-07-01,Canada Day,Public Holiday,Toronto,High,2025,7,Tuesday,1,Tuesday
2025-09-01,Labour Day,Public Holiday,Toronto,High,2025,9,Monday,1,Monday
2025-10-13,Thanksgiving,Public Holiday,Toronto,High,2025,10,Monday,1,Monday
2025-12-25,Christmas Day,Public Holiday,Toronto,High,2025,12,Thursday,1,Thursday
2025-12-26,Boxing Day,Public Holiday,Toronto,High,2025,12,Friday,1,Friday
2021-06-15,Pride Toronto,Festival,Downtown,High,2021,6,Tuesday,1,Tuesday
2021-08-20,Canadian National Exhibition,Festival,Exhibition Place,High,2021,8,Friday,1,Friday
2021-09-07,Toronto International Film Festival,Festival,Entertainment District,High,2021,9,Tuesday,1,Tuesday
2021-10-20,Toronto Waterfront Marathon,Marathon,Downtown,High,2021,10,Wednesday,1,Wednesday
2021-05-01,Blue Jays Season Start,Sports,Rogers Centre,Medium,2021,5,Saturday,1,Saturday
2021-05-15,Toronto FC Season,Sports,BMO Field,Medium,2021,5,Saturday,1,Saturday
2021-10-15,Toronto Maple Leafs Season,Sports,Scotiabank Arena,Medium,2021,10,Friday,1,Friday
2021-10-20,Toronto Raptors Season,Sports,Scotiabank Arena,Medium,2021,10,Wednesday,1,Wednesday
2022-06-15,Pride Toronto,Festival,Downtown,High,2022,6,Wednesday,1,Wednesday
2022-08-20,Canadian National Exhibition,Festival,Exhibition Place,High,2022,8,Saturday,1,Saturday
2022-09-07,Toronto International Film Festival,Festival,Entertainment District,High,2022,9,Wednesday,1,Wednesday
2022-10-20,Toronto Waterfront Marathon,Marathon,Downtown,High,2022,10,Thursday,1,Thursday
2022-05-01,Blue Jays Season Start,Sports,Rogers Centre,Medium,2022,5,Sunday,1,Sunday
2022-05-15,Toronto FC Season,Sports,BMO Field,Medium,2022,5,Sunday,1,Sunday
2022-10-15,Toronto Maple Leafs Season,Sports,Scotiabank Arena,Medium,2022,10,Saturday,1,Saturday
2022-10-20,Toronto Raptors Season,Sports,Scotiabank Arena,Medium,2022,10,Thursday,1,Thursday
2023-06-15,Pride Toronto,Festival,Downtown,High,2023,6,Thursday,1,Thursday
2023-08-20,Canadian National Exhibition,Festival,Exhibition Place,High,2023,8,Sunday,1,Sunday
2023-09-07,Toronto International Film Festival,Festival,Entertainment District,High,2023,9,Thursday,1,Thursday
2023-10-20,Toronto Waterfront Marathon,Marathon,Downtown,High,2023,10,Friday,1,Friday
2023-05-01,Blue Jays Season Start,Sports,Rogers Centre,Medium,2023,5,Monday,1,Monday
2023-05-15,Toronto FC Season,Sports,BMO Field,Medium,2023,5,Monday,1,Monday
2023-10-15,Toronto Maple Leafs Season,Sports,Scotiabank Arena,Medium,2023,10,Sunday,1,Sunday
2023-10-20,Toronto Raptors Season,Sports,Scotiabank Arena,Medium,2023,10,Friday,1,Friday
2024-06-15,Pride Toronto,Festival,Downtown,High,2024,6,Saturday,1,Saturday
2024-08-20,Canadian National Exhibition,Festival,Exhibition Place,High,2024,8,Tuesday,1,Tuesday
2024-09-07,Toronto International Film Festival,Festival,Entertainment District,High,2024,9,Saturday,1,Saturday
2024-10-20,Toronto Waterfront Marathon,Marathon,Downtown,High,2024,10,Sunday,1,Sunday
2024-05-01,Blue Jays Season Start,Sports,Rogers Centre,Medium,2024,5,Wednesday,1,Wednesday
2024-05-15,Toronto FC Season,Sports,BMO Field,Medium,2024,5,Wednesday,1,Wednesday
2024-10-15,Toronto Maple Leafs Season,Sports,Scotiabank Arena,Medium,2024,10,Tuesday,1,Tuesday
2024-10-20,Toronto Raptors Season,Sports,Scotiabank Arena,Medium,2024,10,Sunday,1,Sunday
